iter	Logloss
0	0.6610934272
1	0.6314171634
2	0.606717209
3	0.5845356152
4	0.5667692169
5	0.5503099994
6	0.5366153928
7	0.5271954956
8	0.5152942254
9	0.5058132654
10	0.4971404975
11	0.4897916157
12	0.484086702
13	0.4796470315
14	0.474145993
15	0.4692062417
16	0.4648034631
17	0.4609742439
18	0.4570297675
19	0.4535905545
20	0.4506681663
21	0.4479501354
22	0.4451944087
23	0.4430605216
24	0.440714037
25	0.4389597124
26	0.4371041288
27	0.4363963825
28	0.4341664285
29	0.4327139628
30	0.4311846792
31	0.4294280774
32	0.4279460916
33	0.4268053055
34	0.4254131208
35	0.4240057483
36	0.4227882974
37	0.4215502798
38	0.4204998756
39	0.4194932579
40	0.4187377694
41	0.4179166207
42	0.4174196663
43	0.4167652779
44	0.4161026773
45	0.4153517728
46	0.4148032242
47	0.4144074642
48	0.4137835935
49	0.4133055756
50	0.4128894579
51	0.4124272511
52	0.4121154207
53	0.4116394346
54	0.411168143
55	0.4107603541
56	0.410150376
57	0.409801526
58	0.409499993
59	0.4091326927
60	0.4088226385
61	0.4084816816
62	0.4082062078
63	0.4077435564
64	0.4073609803
65	0.4070494655
66	0.4068287683
67	0.4066391926
68	0.406487909
69	0.4060455815
70	0.4057212322
71	0.4054893292
72	0.4051731014
73	0.4049154017
74	0.4046996533
75	0.4043307494
76	0.4040684105
77	0.4038490167
78	0.4035794734
79	0.4033456684
80	0.4031795933
81	0.403012851
82	0.402860419
83	0.4025509716
84	0.4023116608
85	0.4020193305
86	0.4018036426
87	0.4015401549
88	0.4013042692
89	0.4011450138
90	0.4009392404
91	0.4007648007
92	0.4004417275
93	0.4001442673
94	0.3997579028
95	0.3996270854
96	0.399474488
97	0.3992659597
98	0.399118771
99	0.3989267096
100	0.39880286
101	0.3985896967
102	0.3983687184
103	0.3982239405
104	0.3980147408
105	0.3977183211
106	0.3975988381
107	0.3974709218
108	0.3973129415
109	0.3971548646
110	0.3970067911
111	0.3968560998
112	0.3967259505
113	0.3965740943
114	0.3964514632
115	0.3963122842
116	0.396182004
117	0.3960913768
118	0.3959225886
119	0.3958800862
120	0.395727038
121	0.3955927719
122	0.3954066809
123	0.3952944739
124	0.3951693538
125	0.3950179791
126	0.3948689311
127	0.3947576875
128	0.3946663071
129	0.3945350314
130	0.394381821
131	0.3942853223
132	0.3940894855
133	0.3939359396
134	0.3937730455
135	0.3936325177
136	0.3934938407
137	0.393374574
138	0.3932874165
139	0.3932820303
140	0.3931691791
141	0.3930690699
142	0.3929606929
143	0.3927705447
144	0.3926276682
145	0.3925628909
146	0.3923893108
147	0.3922736611
148	0.3921364316
149	0.3920650033
150	0.3919962093
151	0.3919405744
152	0.3918520773
153	0.3917154471
154	0.3915890578
155	0.3915296885
156	0.3913822605
157	0.3912789343
158	0.3911662049
159	0.3910501432
160	0.3909799399
161	0.3908645621
162	0.3907604433
163	0.3906342504
164	0.3904532792
165	0.390361068
166	0.3900947473
167	0.3899246645
168	0.3897794192
169	0.389652954
170	0.3895056096
171	0.3893731193
172	0.3892303898
173	0.3890908911
174	0.388955906
175	0.3888681739
176	0.3887486609
177	0.3886570026
178	0.388553842
179	0.3884054972
180	0.3882372683
181	0.3880722374
182	0.3878343719
183	0.3876671405
184	0.3874390466
185	0.3873434694
186	0.3871966825
187	0.38698252
188	0.3868378085
189	0.3867403729
190	0.3866278023
191	0.3865028306
192	0.3863340396
193	0.3862165928
194	0.3860850977
195	0.3859119124
196	0.3857685294
197	0.3855994123
198	0.3854389445
199	0.3852611381
200	0.3850804673
201	0.384954118
202	0.3848303491
203	0.3846558384
204	0.3844722325
205	0.3843203096
206	0.3841640169
207	0.3840814143
208	0.3839041595
209	0.3837936346
210	0.3836966277
211	0.3834878085
212	0.3833940678
213	0.3832178422
214	0.3830164861
215	0.3828398666
216	0.3827040956
217	0.3825728859
218	0.3824609625
219	0.3822922638
220	0.382139853
221	0.3820128591
222	0.3818980147
223	0.38177835
224	0.3816765219
225	0.3815757744
226	0.3814423208
227	0.3813165975
228	0.3812231395
229	0.3810553709
230	0.380939253
231	0.3808138821
232	0.3806835835
233	0.380559773
234	0.3803998803
235	0.3802607361
236	0.3800894006
237	0.3799176871
238	0.3797884942
239	0.379674237
240	0.3795468615
241	0.3793921574
242	0.3793054991
243	0.37916481
244	0.3790244358
245	0.3789209711
246	0.3788216214
247	0.3787080678
248	0.3785698194
249	0.3784410706
250	0.378353065
251	0.3782269349
252	0.3780958462
253	0.3779673455
254	0.3778752327
255	0.3777290381
256	0.3775723085
257	0.3774842805
258	0.3773472141
259	0.3772680484
260	0.3771761723
261	0.3770728896
262	0.3769435343
263	0.3766458489
264	0.3765095928
265	0.3762983174
266	0.3761744244
267	0.3760292683
268	0.3759572103
269	0.3758440953
270	0.3757123183
271	0.3756095166
272	0.3755067302
273	0.3753822035
274	0.375120409
275	0.3749754117
276	0.3748825226
277	0.3748006818
278	0.3747219837
279	0.3745964529
280	0.3744752695
281	0.3744306981
282	0.3742706849
283	0.3741694544
284	0.3740894313
285	0.3740024182
286	0.3739234651
287	0.3737354137
288	0.3735861429
289	0.3734910677
290	0.3733682977
291	0.3732447405
292	0.3731385244
293	0.3730742233
294	0.3729418187
295	0.3728456197
296	0.3727331806
297	0.372661854
298	0.372539996
299	0.3724294696
