iter	Passed	Remaining
0	144	43106
1	146	21893
2	149	14806
3	152	11269
4	154	9136
5	157	7719
6	160	6702
7	162	5927
8	164	5324
9	167	4856
10	169	4465
11	172	4135
12	174	3859
13	177	3620
14	179	3414
15	182	3239
16	184	3079
17	187	2941
18	190	2817
19	193	2706
20	195	2602
21	200	2539
22	203	2455
23	206	2374
24	209	2301
25	211	2233
26	216	2184
27	218	2117
28	220	2063
29	223	2009
30	225	1958
31	228	1915
32	231	1872
33	234	1832
34	236	1792
35	239	1756
36	242	1723
37	245	1690
38	247	1659
39	250	1627
40	252	1598
41	255	1569
42	258	1542
43	260	1517
44	263	1493
45	265	1468
46	268	1444
47	271	1423
48	273	1402
49	276	1383
50	279	1364
51	281	1344
52	284	1325
53	286	1307
54	291	1300
55	297	1297
56	300	1282
57	303	1268
58	309	1263
59	317	1269
60	323	1267
61	329	1264
62	333	1255
63	337	1244
64	341	1233
65	344	1220
66	347	1207
67	350	1194
68	352	1180
69	357	1173
70	359	1160
71	362	1146
72	364	1134
73	382	1169
74	386	1158
75	389	1147
76	391	1134
77	395	1124
78	398	1114
79	401	1103
80	405	1097
81	408	1087
82	412	1077
83	415	1067
84	418	1058
85	421	1048
86	424	1039
87	427	1029
88	430	1019
89	433	1010
90	435	1001
91	438	992
92	441	983
93	444	974
94	446	964
95	450	957
96	454	951
97	457	943
98	461	936
99	464	928
100	466	920
101	469	911
102	472	903
103	475	895
104	477	887
105	480	879
106	483	872
107	486	864
108	488	856
109	491	849
110	494	842
111	498	836
112	501	829
113	504	822
114	506	815
115	509	808
116	512	801
117	516	796
118	519	790
119	522	783
120	525	777
121	528	771
122	531	764
123	533	757
124	536	750
125	538	743
126	541	737
127	545	732
128	547	726
129	550	719
130	552	713
131	555	707
132	558	700
133	561	695
134	563	688
135	566	683
136	569	677
137	571	671
138	574	665
139	576	658
140	578	652
141	581	647
142	583	641
143	587	636
144	589	630
145	592	625
146	595	619
147	597	614
148	600	608
149	603	603
150	606	598
151	608	592
152	611	587
153	614	582
154	616	577
155	619	571
156	622	566
157	624	561
158	627	556
159	630	551
160	633	546
161	636	541
162	639	537
163	642	532
164	645	528
165	648	523
166	650	518
167	654	513
168	656	509
169	659	504
170	662	499
171	664	494
172	667	489
173	669	485
174	672	480
175	675	476
176	678	471
177	680	466
178	683	462
179	686	457
180	705	463
181	707	458
182	709	453
183	712	449
184	714	444
185	717	439
186	720	435
187	723	430
188	725	426
189	728	421
190	730	417
191	733	412
192	736	408
193	738	403
194	741	399
195	743	394
196	746	390
197	748	385
198	751	381
199	753	376
200	756	372
201	758	367
202	760	363
203	763	359
204	766	355
205	769	350
206	771	346
207	773	342
208	776	337
209	778	333
210	781	329
211	783	325
212	786	321
213	788	316
214	790	312
215	793	308
216	796	304
217	798	300
218	801	296
219	803	292
220	806	288
221	809	284
222	812	280
223	817	277
224	821	273
225	825	270
226	831	267
227	835	263
228	839	260
229	841	256
230	845	252
231	847	248
232	850	244
233	853	240
234	856	236
235	858	232
236	861	229
237	864	225
238	867	221
239	870	217
240	873	213
241	876	210
242	879	206
243	882	202
244	885	198
245	888	194
246	892	191
247	895	187
248	898	184
249	901	180
250	904	176
251	907	172
252	910	169
253	913	165
254	916	161
255	918	157
256	921	154
257	924	150
258	927	146
259	930	143
260	933	139
261	936	135
262	939	132
263	944	128
264	948	125
265	951	121
266	954	118
267	958	114
268	962	110
269	965	107
270	968	103
271	971	100
272	974	96
273	976	92
274	979	89
275	981	85
276	984	81
277	987	78
278	990	74
279	993	70
280	995	67
281	998	63
282	1001	60
283	1003	56
284	1005	52
285	1008	49
286	1010	45
287	1013	42
288	1015	38
289	1018	35
290	1021	31
291	1023	28
292	1026	24
293	1028	20
294	1031	17
295	1033	13
296	1036	10
297	1038	6
298	1041	3
299	1043	0
